#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
103,Algeria,"266,173",,"6,875 ",,"178,592",,"80,706",6,"5,858",151,"230,861","5,081","45,435,999 ",Africa,"1716,609197",,,"1,776"
104,Luxembourg,"263,167",,"1,094 ",,"251,249",,"10,824",,"407,150","1,693","4,307,055","6,663,523","646,363 ",Europe,25910,,,"16,746"
105,Nigeria,"257,637",,"3,144 ",,"250,287",,"4,206",11,"1,191",15,"5,279,608","24,401","216,365,512 ",Africa,"84068,81941",,,19
106,Zimbabwe,"255,726",,"5,558 ",,"249,014",,"1,154",12,"16,718",363,"2,401,524","157,003","15,296,010 ",Africa,"602,7526",,,75
107,Uzbekistan,"241,196",+74,"1,637 ",,"238,292",+62,"1,267",23,"7,003",48,"1,377,915","40,009","34,440,133 ",Asia,"14321,03925",2,,37
108,Montenegro,"241,190",,"2,729 ",,"236,588",,"1,873",6,"383,923","4,344","2,500,367","3,980,050","628,225 ",Europe,32300,,,"2,981"
109,Mozambique,"228,226",,"2,212 ",,"225,626",,388,11,"6,914",67,"1,351,126","40,933","33,008,018 ",Africa,"14514,92224",,,12
110,Laos,"210,324",+11,757 ,,N/A,N/A,N/A,,"28,092",101,"1,233,207","164,716","7,486,887 ",Asia,"369,8906",1,,"26,968"
111,Kyrgyzstan,"201,053",,"2,991 ",,"196,406",,"1,656",131,"29,831",444,"1,907,195","282,981","6,739,650 ",Asia,"342,2534",,,246
112,Martinique,"195,912",,965 ,,104,,"194,843",8,"522,874","2,576","828,928","2,212,345","374,683 ",North America,23880,,,"520,021"
113,Iceland,"195,259",,179 ,,N/A,N/A,N/A,1,"564,861",518,"1,969,022","5,696,149","345,676 ",Europe,"21,9310",,,"345,396"
114,Afghanistan,"182,793",,"7,725 ",,"164,825",,"10,243","1,124","4,493",190,"1,006,903","24,750","40,683,098 ",Asia,"2235,26640",,,252
115,Maldives,"182,720",,306 ,,"163,687",,"18,727",25,"326,519",547,"2,213,831","3,956,095","559,600 ",Asia,"31,8290",,,"33,465"
116,El Salvador,"169,646",,"4,150 ",,"159,993",,"5,503",8,"25,893",633,"2,284,873","348,745","6,551,709 ",North America,"391,5793",,,840
117,Namibia,"169,247",,"4,065 ",,"164,799",,383,,"64,279","1,544","1,061,990","403,337","2,633,011 ",Africa,166482,,,145
118,Guadeloupe,"168,714",,955 ,,"2,250",,"165,509",19,"421,510","2,386","938,039","2,343,568","400,261 ",North America,24190,,,"413,503"
119,Uganda,"167,979",,"3,621 ",,"100,412",,"63,946",14,"3,454",74,"2,775,992","57,081","48,632,084 ",Africa,"29013,43118",,,"1,315"
120,Trinidad and Tobago,"167,495",,"4,013 ",,"157,104",,"6,378",18,"118,912","2,849","774,488","549,845","1,408,558 ",North America,83512,,,"4,528"
121,Ghana,"166,546",,"1,452 ",,"163,611",,"1,483",3,"5,145",45,"2,477,500","76,534","32,371,181 ",Africa,"19422,29413",,,46
122,Brunei ,"164,727",,225 ,,"157,667",,"6,835",1,"369,456",505,"717,784","1,609,872","445,864 ",Asia,"31,9821",,,"15,330"
123,Jamaica,"143,347",,"3,144 ",,"91,207",,"48,996",,"47,990","1,053","1,132,328","379,081","2,987,035 ",North America,219503,,,"16,403"
124,Cambodia,"136,301",+3,"3,056 ",,"133,206",,39,,"7,933",178,"2,994,623","174,287","17,182,117 ",Asia,"1265,6226",0.2,,2
125,Rwanda,"131,270",,"1,460 ",,"45,522",,"84,288",,"9,656",107,"5,574,148","410,020","13,594,831 ",Africa,"1049,3122",,,"6,200"
126,Cameroon,"120,068",,"1,931 ",,"117,791",,346,13,"4,308",69,"1,751,774","62,859","27,868,411 ",Africa,"23214,43216",,,12
127,Malta,"106,068",+661,751 ,+3,"97,140",+251,"8,177",4,"238,948","1,692","1,975,827","4,451,103","443,896 ",Europe,45910,"1,489",7,"18,421"
128,Angola,"99,761",,"1,900 ",,"97,149",,712,,"2,857",54,"1,499,795","42,959","34,912,407 ",Africa,"35018,37523",,,20
129,DRC,"91,393",,"1,375 ",,"50,930",,"39,088",,962,14,"846,704","8,912","95,010,860 ",Africa,"1,04069,099112",,,411
130,French Guiana,"88,362",,401 ,,"11,254",,"76,707",1,"281,249","1,276","644,972","2,052,894","314,177 ",South America,47830,,,"244,152"
131,Malawi,"86,600",,"2,646 ",,"83,202",,752,67,"4,304",132,"593,776","29,513","20,119,320 ",Africa,"2327,60434",,,37
132,Senegal,"86,399",+17,"1,968 ",,"84,387",+11,44,,"4,902",112,"1,117,068","63,372","17,627,044 ",Africa,"2048,95716",1.0,,2
133,Barbados,"84,919",,477 ,,"82,998",,"1,444",,"294,777","1,656","706,982","2,454,125","288,079 ",North America,36040,,,"5,013"
